Manzara sahane evet ama servis rezalet.	SERVICE#GENERAL AMBIENCE#GENERAL
Acikcasi cok ayilip bayilani var ama ben daha kalin hamurlu pizzalari seviyorum.	FOOD#STYLE_OPTIONS
Ama Pizzeria Trio' nun pizzalari da guzel.	FOOD#QUALITY
Ben Trio Speciale yi tercih ettim.	
Eti kotuydu net ama geri kalan urunleri fena sayilmazdi.	FOOD#QUALITY FOOD#QUALITY
İnanilmaz bir manzaraya sahip bu arada mekan.	AMBIENCE#GENERAL
Pizza, sarap, manzara kombini icin gidilebilir.	DRINKS#QUALITY AMBIENCE#GENERAL FOOD#QUALITY
Özellikle bahçesini tercih edin giderseniz.	AMBIENCE#GENERAL
açık alan gayet rahat.	AMBIENCE#GENERAL
gürüldü de daha az.	
içecekler güzel, ama fastfood tarzı atıştırmalık tercih edecekseniz pek tavsiye etmem.	DRINKS#QUALITY FOOD#QUALITY
Yemekler fena değil fakat porsiyonlar çok ufak.	FOOD#QUALITY FOOD#STYLE_OPTIONS
rejim yapanlar düşünülmüş sanırım.	
Fiyat biraz fazla gibi.	RESTAURANT#PRICES
Burasi eskiden favori yerlerimdendi menüsü degisti ve artik eski menudeki yemeklerin bile tadi ayni degil lezzet olarak cok kötü.	FOOD#QUALITY
Lezzet disinda degerlendirirsek hem dis alani bahcesiyle hemde ic alani rahat buyuk koltuklariyla cok keyifli bir mekan	AMBIENCE#GENERAL AMBIENCE#GENERAL AMBIENCE#GENERAL
Denize yakın yer bulursanız şanslısınız ...	
Tadı bir başka aşşkın kuruçeşmenin en iyi mekanı diyebiliriz arkadaşlarla kahve içip sohbet etmek burda bir başka	RESTAURANT#GENERAL
Kadıköy'ün bira cennetlerinden biri.	DRINKS#STYLE_OPTIONS
Eski çalışanları daha iyi ve samimiydi diye düşünüyorum.	SERVICE#GENERAL
Mevcut çalışanlarının marjinal görünümlerini yadırgamamakla birlikte , bu marjinal görüntü hafiften cool davranışlara kaçıyor, bu da hizmete olumsuz yansıyor.	SERVICE#GENERAL
Daha gülümseyen bir çalışan profili olmalı.	SERVICE#GENERAL
Hizmeti ortalama, yemekler ortalama.	FOOD#QUALITY SERVICE#GENERAL
Yine de bol çeşit bira denemek ve müzik dinlemek için gidilmeli.	AMBIENCE#GENERAL DRINKS#STYLE_OPTIONS
Yemekler çok vasat.	FOOD#QUALITY
her zaman çok yoğun.	SERVICE#GENERAL
içerde müzikten birbirini duyamıyorsun.	AMBIENCE#GENERAL
servis elemanları kaba.	SERVICE#GENERAL
sadece fiyatlar makul.	RESTAURANT#PRICES
menü kısıtlı	FOOD#STYLE_OPTIONS
Cizbiz koftesi , sutis moccachinosu , dtox corbasi ve haftasonu hahvalti zenginligiyle tavsiye edebilecegim bir Mekan manzarasi , ulasim rahatligi konforuyle denemenizi tavsiye Ederim	LOCATION#GENERAL FOOD#STYLE_OPTIONS FOOD#QUALITY FOOD#QUALITY AMBIENCE#GENERAL DRINKS#QUALITY
Sosyal medyada ünlü olduktan sonra kaliteyi düşürmüş mekanlardan bir tanesi.	RESTAURANT#GENERAL
Manzarası muhteşem,servis orta ama yemekler üzgünüm kötü.	
Arkadaşım aşkı memnu söyledi,ben de cheescake söyledim.	FOOD#QUALITY FOOD#QUALITY
İkisi de durmuş ve kötü kalite malzeme kullanılmıştı.	FOOD#QUALITY
En azından adlarıyla özdeşleşmiş tatlılarına özen göstermelerini beklerdim.	FOOD#QUALITY
Bu manzarada ne versek yerler mantığında bir işletmenin Kuruçeşme'de olmasına çok üzüldüm.	RESTAURANT#GENERAL
Önermiyorum, eminim aynı güzellikte manzaraya sahip ama yemekleri müşteriye saygı gereği taze ve iyi malzemeyle yapılmış bir yer bulabilirsiniz civarda.	AMBIENCE#GENERAL FOOD#QUALITY
anzarasi harika...	AMBIENCE#GENERAL
- Burasi haftada bir ugramaya çalistigim ve manzarasina bayildigim bir mekan.	AMBIENCE#GENERAL
Ancak bir seyler yemek için çok iyi denemez.	FOOD#QUALITY
Pastalari 3. sinif pastane mamulleri gibi...	FOOD#QUALITY
Ayrica genelde çok kalabalik olmasi nedeniyle yer kapmak için bayagi bir ugrasmak gerekiyor.	SERVICE#GENERAL
Servis vasat.	SERVICE#GENERAL
Çatal, bıçak pis ve cevizli baklavası şerbetinden insanın midesini bulandiriyor.	SERVICE#GENERAL FOOD#QUALITY
Ayrıca baklava yanmış gibi.	FOOD#QUALITY
Fıstıklı tatlılar idare eder.	FOOD#QUALITY
Uğramaya gerek yok çok daha iyi yerler var.	
Karakoyde yer alan sirin bir cafe.	RESTAURANT#GENERAL
3 kisi icin idealdi.	
Sık sık gelip butun caylardan denemek lazim.	DRINKS#QUALITY
Fiyatlar yuksek ama verdiginiz paraya degiyo	RESTAURANT#GENERAL RESTAURANT#PRICES
Dekorasyonu cok hos.	AMBIENCE#GENERAL
Cok rahat koltuklari var.	AMBIENCE#GENERAL
Oturup saatlerce kaliteli cay esliginde muhabbet edebilirsiniz.	DRINKS#QUALITY AMBIENCE#GENERAL
Arkadasim ozel demlikte cin cayi soyledi ben de ev yapimi seftalili buzlu cay.	
Buzlu cay hayatimda ictigim en iyi buzlu caydi.	DRINKS#QUALITY
Seker orani yerindeydi ve cok ferahlatiyordu.	DRINKS#QUALITY
Cin cayi nin tadi da cok guzeldi.	DRINKS#QUALITY
Kavun aromasinin kivami yerindeydi ama ic ic bitmedi bir turlu.	DRINKS#QUALITY
Fiyat/Performans olarak gidilebilecek mekanlardan birisi Uzunlar Kebap.	RESTAURANT#GENERAL RESTAURANT#PRICES
Piyasada bulunan kebapçılara göre 1 tık daha iyidir.	RESTAURANT#GENERAL
Haftasonu gezmeleri için de gidilebilir, aç kaldığınızda yemeğimi yiyip hemen kalkayım mantığında da gidebilirsiniz.	RESTAURANT#GENERAL
Berbat bir yer,insanlarin sefil oldugu,göcmen burosuna sıra bekleyen biri gibi hissettim,rezalet...	RESTAURANT#GENERAL SERVICE#GENERAL
asla gitmeyin.	RESTAURANT#GENERAL
paranızla rezil olmak isterseniz buyrun derim.	RESTAURANT#GENERAL
Bir goz baslayan ekonomik hayatina neredeyse tum sokaga yerleserek devam eden bir isletme.	
Menusundeki hemen hemen hersey oldukca lezzetli.	FOOD#QUALITY
Ozellikle acik bufe sabah kahvaltisi evinizde yapiyormus gibi keyifli.	FOOD#QUALITY
Ogle yemeklerinde mutlaka erken orda olmak gerek, yoksa yiyeceknyemek bulmakta zorlanabilirsiniz.	
Standart bir kahvalti fakat ortam,servis,mekanin konumu çitayi yükseltiyor.	AMBIENCE#GENERAL SERVICE#GENERAL FOOD#QUALITY AMBIENCE#GENERAL
Özellikle servis elemani Sezgin bey 'in isini bu kadar iyi yapmasi ve herkesle esit ayni güler yüzle ilgilenmesi , masalar arasi slalom yaparken hiç bir istegi ikiletmemesi hepimizin sempatisini ve takdirini kazandi.	SERVICE#GENERAL SERVICE#GENERAL
Göksu'da gidilebilecek en hos cafelerden biri bence.	RESTAURANT#GENERAL
Geniş bahçesi ve terası ile bu lokasyona yakın arkadaşların yaz akşamlaında açık haavada nargile keyfi yapabilecekleri bir mekan.	AMBIENCE#GENERAL AMBIENCE#GENERAL
çıkışta dürüm tır da dürümlerinizi yiyebilirsiniz ?	
Ulasim oldukca kolay.	LOCATION#GENERAL
Otoparki vale sistemiyle calisiyor.	LOCATION#GENERAL
Cevre duzenlemesi okadar guzel yapilmiski daha yemekleri tatmadan iyi geldim diyorsunuz.	AMBIENCE#GENERAL
Etler , meze, salata ve patates kizartmasi da size kesinlikle aksini dusundurmuyor.	FOOD#QUALITY FOOD#QUALITY
Hepsi ayri lezzetli.	FOOD#QUALITY
Acildigindan beri ara sira gidiyordum.	RESTAURANT#GENERAL
Ickiyi yasakladiklari icin (kendi tabirleriyle %15 musteriden biri old.	
icin) artik gitmiyorum.	RESTAURANT#GENERAL
Yasaklatanlara hayirli olsun!	RESTAURANT#GENERAL
Vasat - Istanbul'daki kebapçilarla kiyaslayacak olursak gerçekten vasat.	FOOD#QUALITY
Ama benim derdim kebap degil yeni bir yer görmek diyorsaniz kesinlikle tavsiye edilir.	AMBIENCE#GENERAL FOOD#QUALITY
Ancak çok büyük beklentiyle gidilmemeli ki sonra çok üzülmemeli:	RESTAURANT#GENERAL
Ozel gun yemeklerinizi yiyebileceginiz luks bir restorant.	RESTAURANT#GENERAL
Kulbasti ve ozellikle ev yapimi sufleyi tavsiye ediyorum.	FOOD#QUALITY FOOD#QUALITY
Rezervasyon sirasinda ozel gununuzu soylediginiz takdirde sampanya ikramlari oluyor bu guzel bir jest	SERVICE#GENERAL DRINKS#STYLE_OPTIONS
Yemek servisi ve lezzeti iyi bir restaurant.	SERVICE#GENERAL FOOD#QUALITY
Servis Süreleri biraz uzun birde bulunduğu mekana ve mekanın fiziksel kalitesine göre fiyatlar pahalı.	SERVICE#GENERAL RESTAURANT#PRICES
Daha mütevazı menu fiyatları olsa daha sık ziyaret edilebilir	RESTAURANT#PRICES
Çikolatalı baklavasına bayılıyorum kesinlikle en favori tatlım.	FOOD#QUALITY
Diğer bütün tatlılarının kalitesi ve lezzeti üst seviyede.	FOOD#QUALITY
Güllüoğlu bu konuda uzman.	RESTAURANT#GENERAL
Nusret etin prensi diyorsak bildiğimiz var ki diyoruz.	FOOD#QUALITY
😎 Etleri muhteşem lezzetliydi.	FOOD#QUALITY
Evde de aynısını bir aşçı adayı olarak yapsam bile Nusret'inki farklı.	FOOD#QUALITY
Kaliteli yemek sevenler mutlaka gitsin denesin.	FOOD#QUALITY
Jumbo combo ve kola istedim ama börek ve tavuk parçaları dışındaki tatlar bana göre değildi.	FOOD#QUALITY FOOD#QUALITY
Sosları sevmedim ve soğan halkalarının tadı tatlı geldi.	FOOD#QUALITY FOOD#QUALITY
Nachos istemediğime pişman oldum.	FOOD#QUALITY
Cumartesi olmasına rağmen sakindi.	AMBIENCE#GENERAL
Telefonun şebekesi çekmediği için wifi ye bağlanmak istedim ama oturduğum müddetçe başarılı olmadım.	SERVICE#GENERAL
Servis hızlı ve çalışanları pozitifti.	SERVICE#GENERAL SERVICE#GENERAL
Güzel bir cafe ama maalesef hard rock değil.	AMBIENCE#GENERAL RESTAURANT#GENERAL
açıkçası çokta tavsiye edilecek bir yer değil bence , press ile yanyana olunca bir orayada bakayim dedim fakat oturmamla kalkmam bir oldu .	RESTAURANT#GENERAL
Sadece Türk kahvesi var ve bir sürü çay çeşidi tadlari belki güzeldir ama hem pahali hem gereksiz bir yer bence	RESTAURANT#GENERAL RESTAURANT#PRICES
Birde burdaki yerini deniyeyim dedim geçenlerde ama tam bir hayal kirikligi garsonlar asiri ilgisiz kebaplar diger subelerine göre basarisiz cok sarimsakli ve rahatsiz edici manzara gibi bir olayi yok bridge 'in tam tersi tarafinda kaldigi icin evlere bakiyor bos bos gitmeye degecek bir yer degil lezzette kötü zaten ilk ve son gidisim olacak fakat servis için göztepe subesi gerçekten güzel salatalari bile paket sekilde gonderiyor .	AMBIENCE#GENERAL FOOD#QUALITY FOOD#QUALITY RESTAURANT#GENERAL SERVICE#GENERAL SERVICE#GENERAL
Dostlarinizla birlikte gürültüden uzak, bir seyler içme düsüncesindeyseniz birbirinizin sesini rahatlikla duyabileceginiz mükemmel bir yer Limonlu Bahçe.	AMBIENCE#GENERAL
Bahçesindeki kedilerinin birbirini kovalamasi ise mutluluktan midenizde kelebekler uçurtuyor!	AMBIENCE#GENERAL
Tek sorun siparisin çok geç gelmesi ve yemeklerin performans-fiyat birlikteliginin tutarli olmamasi	FOOD#PRICES SERVICE#GENERAL
Popülerliğin etkisiyle kaliteyi düşüren, malzemeyi azaltan bir yer oldu.	RESTAURANT#GENERAL FOOD#STYLE_OPTIONS
Baklavada fıstığı ara ki bulasın.	FOOD#STYLE_OPTIONS
Paket alınan baklavaların bayat olma ihtimali yüksek, dikkatli olun.	FOOD#QUALITY
Su böreği de kötü.	FOOD#QUALITY
Zaten o kalabalıkta oturmaya o gürültüyü çekmeye bile değmez.	AMBIENCE#GENERAL
Normal mekan normal tatlar.	FOOD#QUALITY AMBIENCE#GENERAL
Övgü üzerine gitmiştik ama fazla beklentiye girince bazen normal bulacağınız şeyi de bepenmeyebiliyorsunuz.	RESTAURANT#GENERAL
Bence istanbulda iyi denilen mekanlarda bile meze probleni var.	FOOD#QUALITY
Sıradan lezzetler.	FOOD#QUALITY
Burda da aynı durum geçerli işte	RESTAURANT#GENERAL
Her zaman keyifli - Her zaman keyifle gittigim mekanlardan biri olmustur.	RESTAURANT#GENERAL
Bahçesi çok güzel.	AMBIENCE#GENERAL
Misafirlerini çok güzel host ediyorlar.	SERVICE#GENERAL
Canyon Road ve Big Burger her zaman favorimdir.	FOOD#QUALITY FOOD#QUALITY
Pardon biraz once yazmistim.	
Tekrar yazayim dedim.	
Biri lutfen arka masada oturan bayanlari ikaz etsin:	
cok yuksek sesle gulup egleniyorlar.	AMBIENCE#GENERAL
Ugramadan geçmeyin - Konum olarak güzel bir yere kurulan ve disaridan geçerken görsel olarak içeri çagiran ayrica içeri girildiginde de pisman etmeyen bir mekan.	AMBIENCE#GENERAL LOCATION#GENERAL
Burasi oldukça lezzetli yemekler yapiyor ve sunum, hijyen, herkes çok sicak kesinlikle gidilmeli.	FOOD#QUALITY SERVICE#GENERAL
Güzel manzara, yetersiz menü - Otagtepe'nin manzarasi çok güzel ancak ne yazik ki bu manzaraya uyacak bir menü zenginligi, yemek kalitesi yok.	AMBIENCE#GENERAL AMBIENCE#GENERAL FOOD#QUALITY FOOD#STYLE_OPTIONS
Hizmet kalitesi de iyi degil.	SERVICE#GENERAL
Deniz mahsullü pizzası güzel değil.	FOOD#QUALITY
Riske girmeden hamburger, wrap, sandviç tarzı bir şey söylemek en mantıklısı.	AMBIENCE#GENERAL
Ayrıca rezervasyon alıyorlar ki Numnum'sınız siz havanız kime diyesi geliyor insanın.	SERVICE#GENERAL
Pek çok kişiden duyunca merak edip öğlene doğru gittik mekana,denilenin aksine boştu ama sonrasında epey doldu.	
Fırında makarnasını denedim ama çok beğendiğimi söyleyemeyeceğim.	FOOD#QUALITY
Zeytinyağlıları deneyince tam fikrimi belireteceğim.	
3 aydir haftasonlari ugrak noktamizdi, Kahvehane gibi maç ücreti 10 tl diye yazdilar yaa o gun bizim gozumuzde bitti.	RESTAURANT#PRICES
Gidicekler simdiden dikkatli olsun.	RESTAURANT#GENERAL
Mudavimi oldugum diger mekanim, ascisi super yemekler cikariyor isletmecisini cok seviyoruz , balli tavuk salata , yesil mercimek corbasi, kestanesi suflesi ve birbirinden saglikli fresh meyve sulari deneyin derim ,bogazin gobeginde yemeginizi yemenin keyfine varin	RESTAURANT#GENERAL FOOD#QUALITY FOOD#QUALITY FOOD#QUALITY DRINKS#QUALITY AMBIENCE#GENERAL SERVICE#GENERAL
Fethipaşa korusunun içinde bulunan manzarasına göre uygun fiyata sahip salaş şık aileye uygun bir mekan.	RESTAURANT#PRICES LOCATION#GENERAL AMBIENCE#GENERAL
özellikle yaz akşamları terasında semaver çayını denemelisiniz	DRINKS#QUALITY
yaz ayları için bahçesi beşiktaş'taki en ferah yer olabilir.	AMBIENCE#GENERAL
yemekleri lezzetli, servis hızlı ve çalışanlar güler yüzlü.	FOOD#QUALITY SERVICE#GENERAL SERVICE#GENERAL
iç dekorasyonu da gayet hoş.	AMBIENCE#GENERAL
müzikler de ortam ile uyumlu.	AMBIENCE#GENERAL
Malesef ki sadece pazar günü brunch veren bir yer.	FOOD#STYLE_OPTIONS
Kahvaltısını denemediyseniz denemelisiniz çok fazla çeşit var hatta hangisini yesek diye şaşırıyorsunuz.	FOOD#STYLE_OPTIONS
Saatlerce pazar keyfi yapabilceğimiz bir yer.	RESTAURANT#GENERAL
Manzarasına zaten diyecek tek bir kelime yok.	AMBIENCE#GENERAL
Böyle bir yerin tabi ki fiyatları Pahalı.	RESTAURANT#PRICES
Garsonlar ilgili, yemekler güzel	FOOD#QUALITY SERVICE#GENERAL
Tuzlanın meşhur balıkçısı.	RESTAURANT#GENERAL
Eskiye nazaran kalitesi oldukça düşük.	RESTAURANT#GENERAL
Eskiden mekan daha ufak sınırlı sayıda müşteriye hizmet eden ama kalitesini bozmayan bir yerdi.	RESTAURANT#GENERAL
Maalesef son 1 senede kalitesinde ve serviste epey sıkıntılı.	SERVICE#GENERAL RESTAURANT#GENERAL
Tatlilari da denenmeli bence.	FOOD#QUALITY
Manzarasi da ayrica güzeldir.	AMBIENCE#GENERAL
Plaza insanı için öğle yemeklerinde bir alternatif kanımca.	RESTAURANT#GENERAL
Değişiklik aradığımızda gidip pek de değilik bir şey yeniyoruz aslında.	
Ev yemeklerini hakettiğinden pahalıya sattıklarını düşünüyorum.	FOOD#PRICES
Göksunun kenarında çok şirin bir yer.	AMBIENCE#GENERAL
Yemekleri de gayet lezzetliydi.	FOOD#QUALITY
Görselliğe pek önem vermedikleri aşikar yine de.	AMBIENCE#GENERAL
Ama hizmet konusunda on puan veriyorum	SERVICE#GENERAL
Uzun zamandan sonra yediğim en güzel kofte idi.	FOOD#QUALITY
hamburgerde çok güzeldi.	FOOD#QUALITY
roka salatası Güveçte mantarda başarılı idi.	FOOD#QUALITY FOOD#QUALITY
biz kahvaltısında denemek üzere tekrar geliriz	RESTAURANT#GENERAL
İstanbul'da daha fazla olması istenen mekanlardan.	RESTAURANT#GENERAL
Dizaynı güzel.	AMBIENCE#GENERAL
Kalabalık olduğunda bile çevrenizdeki masalarla iç içe hissettirmeyecek kadar ferah.	AMBIENCE#GENERAL
Özellikle Boğaziçi Üniversitesi öğrencilerinin sıkça uğraması gereken bir mekan.	RESTAURANT#GENERAL
Yemek menüsü geliştirilebilir.	FOOD#STYLE_OPTIONS
Fiyatlar gayet uygun.	RESTAURANT#PRICES
Quattro Stagioni ve Orto'yu denedik ancak beklentilerimizin altında kaldı.	FOOD#QUALITY
Pizzalarından ziyade tiramusu çok daha başarılı.	FOOD#QUALITY FOOD#QUALITY
Bir de dükkanın minyatür haldeki maketi çok tatlı.	AMBIENCE#GENERAL
Cok fazla kisiye servis yapildigi icin cok basarili bulmuyorum mezeler dunden kalma gibi etler cok guzel degil yanliz adana kebabi fena degil ama daha iyileri oldugu icin baska yerde denemede fayda var	AMBIENCE#GENERAL FOOD#QUALITY FOOD#QUALITY SERVICE#GENERAL
Orta...	RESTAURANT#GENERAL
- Ambiansi hos.	AMBIENCE#GENERAL
Yemekleri basarili bulmuyorum, burgerler lezzetsiz, fajita için kullandiklari et uygun degil.	FOOD#QUALITY FOOD#QUALITY FOOD#QUALITY
Genelde çok kalabalik oldugu için de servis kosturmaca içinde yapiliyor.	SERVICE#GENERAL
Kadıköy'de yemek yenecek en iyi yerlerden birisi Happy Moon's.	FOOD#QUALITY
Günün her saatinde gelinebilir.	RESTAURANT#GENERAL
Servis hızlı sayılır mekan dekorasyonu gerçekten güzel.	SERVICE#GENERAL AMBIENCE#GENERAL
Manzara muhtesem ama servis icin ayni seyi soyleyemeyecegim.	SERVICE#GENERAL AMBIENCE#GENERAL
Peynirli omlet ve menemen lezzetliydi ama patates kizartmasi fazla yag cekmisti.	FOOD#QUALITY FOOD#QUALITY
Gelen kahveler de maalesef sogumustu.	DRINKS#QUALITY
Abartildigini düsünüyorum.	RESTAURANT#GENERAL
Getirilen patates kizartmasi için kullanilan yag kaçinci kere kullanilmissa üzerinde siyahlasmis yag kalintilari vardi ve patatesler birakin çitir olmayi hamur gibiydi.	FOOD#QUALITY FOOD#STYLE_OPTIONS
Domates/salatalik sögüs beklemekten pörsümüstü.	FOOD#QUALITY
Etrafta kaotik bir hareketlilik yasanmasi yediginizden keyif almanizi zorlastiriyor.	AMBIENCE#GENERAL
Üzerine ortalama bir döner olunca ben tekrar gidecegimi sanmam.	FOOD#QUALITY RESTAURANT#GENERAL
Bayıldığım bir yer mekan çok hoş her mezeyi tatmak gerekli evet keşke fiyatlar daha insani boyutta olsa muhteşem olurdu ama ne yapayım o kadar keyif alıyorum ki verdiğimiz para can acıtmıyor sadece daha seyrek gitmemize sebep oluyor ortam yemekler ve müzik herşey harika	AMBIENCE#GENERAL FOOD#QUALITY FOOD#QUALITY RESTAURANT#GENERAL RESTAURANT#PRICES AMBIENCE#GENERAL
nadir güllüoglunun yeri güzel bakimli ve taze lezzet sunuyor sadece bana çok sekerli geliyor damak tadimdan kaynaklanabilir hepsini genelde denedim fistikli baklava güzel	FOOD#QUALITY LOCATION#GENERAL FOOD#QUALITY FOOD#QUALITY
Çengelköy'ün salaş Çınaraltı kahvaltısı dışında muhteşem bir alternatif.	
Mekanın içine cidden emek harcandığı her halinden belli.	AMBIENCE#GENERAL
Ne kadar yoğun olursa olsun, servis hızlı yenilen her şey çok lezzetli.	FOOD#QUALITY SERVICE#GENERAL
Pastırmalı yumurta konusunda hala gönlümün tek sultanıdır Sütiş.	FOOD#QUALITY
Hasan Kolcuoğlu çok pahalı diyemem ama hesap yüksek sayılır; ayrıca sözde açık ama aslında kapalı alanında sigara içiliyor.	AMBIENCE#GENERAL RESTAURANT#PRICES
Mezeler çok çeşitli ve lezzetli, metrelik kebabı da güzel, o da gayet lezzetli fakat mecburen fix menü alınıyor.	AMBIENCE#GENERAL FOOD#QUALITY FOOD#STYLE_OPTIONS FOOD#QUALITY
Para ödeyip istediğini yiyememek biraz gereksiz israfa sebep oluyor, bence değişmeli	FOOD#STYLE_OPTIONS
mantısı ficcini zeytinyağlı mezgiti ile cok guzel yer.	FOOD#QUALITY
ama meyhane kismina bir kere oturdugumuzda arkadaslarimizi bekliyorduk zorla 10 tane meze getirdiler eger meze istemiyorsak oturamayacagimizi soylediler.	SERVICE#GENERAL
terbiyesiz birkac garsonu dışında guzel bir yerdi	SERVICE#GENERAL RESTAURANT#GENERAL
Anadolu Yakasi'nda kebap yenebilecek en iyi ve en nezih yerlerden birisi.	FOOD#QUALITY AMBIENCE#GENERAL
Yemekleri ve ozellikle ara sicaklari cok lezzetli.	FOOD#QUALITY FOOD#QUALITY
Servis cok hizli.	SERVICE#GENERAL
Calisanlar guleryuzlu.	SERVICE#GENERAL
Cerkez yemekleri sevenler icin guzel bir tercih .	FOOD#QUALITY
Ozellikle mantisini cok begenmistim, mezeleri vs lezzetliydi .	FOOD#QUALITY FOOD#QUALITY
Sadece son gittigimde calisanlarin muamelesinden hic hosnut kalmadim, bu konuda daha dikkatli olmalilar.	SERVICE#GENERAL
Mekan dekorasyonu çok başarılı.	AMBIENCE#GENERAL
Mezeler oldukça güzel ve çeşitli.	FOOD#QUALITY FOOD#STYLE_OPTIONS
Ancak balıklara gelince bir durdum.	FOOD#QUALITY
Bildiğin çiftlik balığı geldi.	FOOD#QUALITY
Daha lezzetli bir ana yemek bekliyordum açıkçası.	FOOD#QUALITY
Fiyatlar ortalama meyhane fiyatlarının üzerinde.	RESTAURANT#PRICES
Etler güzel, eti az ama öz pişiren nadir yerlerden:	FOOD#QUALITY
Penne siciliano yedim yerken guzeldi ama sonra yagindan butun gun midem yandi.	FOOD#QUALITY FOOD#QUALITY
Arkadasim begendili tavuk yedi o da ayni seyi yasadi.	FOOD#QUALITY
Servis, ilgi mukemmel yemekler midede rahatsizlik yaratabiliyor.	FOOD#QUALITY SERVICE#GENERAL
Yediğim en iyi sahanda yumurta.	FOOD#QUALITY
Yumurtanın neyi güzel demeyin.	FOOD#QUALITY
Ortam mı yumurta mı tereyağı mı bilmiyorum.	
Kavurmalı efsane, saçma demeyin yanında bakır kapta ayranı da için.	DRINKS#QUALITY FOOD#QUALITY
Yemekleri standart , mudur tarzinda kapida bekleyen kisi soguk ve ters birisi...	FOOD#QUALITY SERVICE#GENERAL
Bize bakan garson yuksek ses ile siparis almasi ayri bir entresan...	SERVICE#GENERAL
Ayni tarz mekanlarda insan iliskileri fark yaratir.	
eskiden daha iyiydi.	RESTAURANT#GENERAL
simdi fabrikasyon .	
servis .	
ok yavas.	
fiyatlar asiri uçmus.	RESTAURANT#PRICES
artik lezzete degil popülerligine gidiliyor.	FOOD#QUALITY
nusretin yerinde olsam buna üzülürdüm.	
Konum olaral harika , lezzet olarak iyi ancak gerçekten servis her gidişimde aynı kötülükte hiç ödün vermiyorlar bu konuda.	FOOD#QUALITY LOCATION#GENERAL SERVICE#GENERAL
Birinin bu sorunu çözmesi gerekir	RESTAURANT#GENERAL
Sıcak, samimi ve içten kütük ev cafe ...	AMBIENCE#GENERAL
Serpme kahvaltıların vazgeçilmezi oldu bizim için haftasonu buraya gelip keyifli vakit geçirebilirsiniz.	FOOD#QUALITY
Paket olarak dönerlerini aldım, özenle paketlenmişti, uzun bir yolculuk yapmış olmama rağmen açtığımda hala sıcaklığını koruyordu.	SERVICE#GENERAL
Malzemeden kısılmaması ve etinin lezzeti beni çok memnun etti.	FOOD#STYLE_OPTIONS FOOD#QUALITY
Bir gun once ayni saatte oglen menusu getiren garson, bir gun sonra kustahca "dun insiyatif alip getirdim ama bundan sonra vermem olur biter" diyerek getirmedi.	SERVICE#GENERAL
Kesinlikle gitmeyin, muamele cok kotu.	SERVICE#GENERAL
Iftardan sonra çay veya kahve keyfi yapmak için ideal bir yer.	DRINKS#QUALITY AMBIENCE#GENERAL
Hem bogazin huzuruyla kendinizi dinlendirebilir, arkadaslarla koyu bir sohbetle uzun saatlerce oturabilir ve canli müzik esliginde keyfinize keyif katabilirsiniz.	AMBIENCE#GENERAL AMBIENCE#GENERAL
Fiyatlari gercekten pahali fakat kaliteli ve hos bir mekan ariyorsaniz kesinlikle tercih edilebilir.	RESTAURANT#PRICES RESTAURANT#GENERAL
Ozellikle begendilerine kattiklari damla sakizi o kadar hos bir aroma veriyor ki anlatamam.	FOOD#QUALITY
Baslangiclarinin bir cogunu denedik hepside enfes.	FOOD#QUALITY
Tatli olarak sufleyi tercih ettik ve ona da bayildik.	FOOD#QUALITY
Mukemmel.	RESTAURANT#GENERAL
Tek eksik olarak etin orta pisimisini istememize ragmen cok pismis bir et ile karsilastik.	FOOD#STYLE_OPTIONS
Yıllardır dizaynini aynen koruyan uskudardaki muhteşem yemekleri olan esnaf lokantasi.	FOOD#QUALITY
Esnaf lokantasi na göre fiyatları pahali ve kredi kartı geçmiyor.	RESTAURANT#PRICES SERVICE#GENERAL
Ancak yemekleri gerçekten çok lezzetli.	FOOD#QUALITY
tatlilardan da irmik helvası ve fırında sutlaci öneririm.	FOOD#QUALITY FOOD#QUALITY
Yıllardır İstanbul'daki favori pizzacım.	RESTAURANT#GENERAL
Ben gittiğimde bir pizzayı hiç bir zaman kendim bitiremiyorum.	FOOD#STYLE_OPTIONS
Mesela 3 kişiysek genelde 2 pizza söylüyoruz.	
Birden çok pizza denemek adına pizzanın iki yarısını farklı yaptırın derim.	FOOD#STYLE_OPTIONS
Servis porsiyonlar çok çok kötü.	SERVICE#GENERAL FOOD#STYLE_OPTIONS
Nerde Bebek şubesi nerde burası tek güzel yanı caddenin bir arka sokağında yeşilliklerin içinde bahçesinin olması	AMBIENCE#GENERAL
Turk kahvesının ıcınden kocaman böcek çıktı.	DRINKS#QUALITY
Kahveyı bıtırdığınızde dıbındekı bocekle karsilasiyorsunuz!	DRINKS#QUALITY
Yemekleri hesap edin artık!	FOOD#QUALITY
Bir daha asla!	RESTAURANT#GENERAL
Nedendir bilmiyorum ama burayı çok seviyorum.	RESTAURANT#GENERAL
Lynchburgleri çok güzel.	DRINKS#QUALITY
Cin li kokteylleri de denemeye değer ama arkadaş bi jager mojito yapamıyorsunuz.	DRINKS#QUALITY DRINKS#QUALITY
Otur , 0 !	RESTAURANT#GENERAL
Alkollü içki almadiginiz bir restda adam basi 80/90 tl hesap cookk fazla ,üstelik gayet az yedik .	RESTAURANT#PRICES
